 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   lineGetGroupListW                                 0x41c89e0c       0x00009e0c      109 (0x6d)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetIcon                                       0x41c8a030       0x0000a030      113 (0x71)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetIconA                                      0x41c89f93       0x00009f93      114 (0x72)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetIconW                                      0x41c89ed5       0x00009ed5      115 (0x73)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetID                                         0x41c8a447       0x0000a447      110 (0x6e)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetIDA                                        0x41c8a3aa       0x0000a3aa      111 (0x6f)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetIDW                                        0x41c8a040       0x0000a040      112 (0x70)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetLineDevStatus                              0x41c8a572       0x0000a572      116 (0x74)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetLineDevStatusA                             0x41c8a4bc       0x0000a4bc      117 (0x75)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetLineDevStatusW                             0x41c8a457       0x0000a457      118 (0x76)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetMessage                                    0x41c855bb       0x000055bb      119 (0x77)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetNewCalls                                   0x41c8a582       0x0000a582      120 (0x78)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetNumRings                                   0x41c8a5f2       0x0000a5f2      121 (0x79)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetProviderList                               0x41c8a74c       0x0000a74c      122 (0x7a)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetProviderListA                              0x41c8a703       0x0000a703      123 (0x7b)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetProviderListW                              0x41c8a656       0x0000a656      124 (0x7c)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetProxyStatus                                0x41c8a759       0x0000a759      125 (0x7d)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetQueueInfo                                  0x41c8a7d5       0x0000a7d5      126 (0x7e)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetQueueListA                                 0x41c8a8ac       0x0000a8ac      127 (0x7f)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetQueueListW                                 0x41c8a968       0x0000a968      128 (0x80)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetRequest                                    0x41c8ac52       0x0000ac52      129 (0x81)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetRequestA                                   0x41c8aacd       0x0000aacd      130 (0x82)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetRequestW                                   0x41c8aa47       0x0000aa47      131 (0x83)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetStatusMessages                             0x41c8ac62       0x0000ac62      132 (0x84)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetTranslateCaps                              0x41ca12da       0x000212da      133 (0x85)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetTranslateCapsA                             0x41ca0e27       0x00020e27      134 (0x86)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetTranslateCapsW                             0x41ca0ee4       0x00020ee4      135 (0x87)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineHandoff                                       0x41c8ada5       0x0000ada5      136 (0x88)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineHandoffA                                      0x41c8ad45       0x0000ad45      137 (0x89)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineHandoffW                                      0x41c8acd4       0x0000acd4      138 (0x8a)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineHold                                          0x41c8adb2       0x0000adb2      139 (0x8b)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineInitialize                                    0x41c910f1       0x000110f1      140 (0x8c)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineInitializeExA                                 0x41c91225       0x00011225      141 (0x8d)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineInitializeExW                                 0x41c9119d       0x0001119d      142 (0x8e)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineMakeCall                                      0x41c8b0e0       0x0000b0e0      143 (0x8f)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineMakeCallA                                     0x41c8af15       0x0000af15      144 (0x90)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

