 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   __RTDynamicCast                                   0x75b04343       0x00024343      124 (0x7c)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __RTtypeid                                        0x75b36474       0x00056474      125 (0x7d)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __set_app_type                                    0x75af2804       0x00012804      212 (0xd4)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __setlc_active                                    0x75b832f0       0x000a32f0      213 (0xd5)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __setusermatherr                                  0x75b777ad       0x000977ad      214 (0xd6)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __STRINGTOLD                                      0x75b30f55       0x00050f55      126 (0x7e)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __strncnt                                         0x75b60160       0x00080160      215 (0xd7)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __threadhandle                                    0x75b4b36a       0x0006b36a      216 (0xd8)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __threadid                                        0x75b4b35f       0x0006b35f      217 (0xd9)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __toascii                                         0x77a03b1a       0x000d3b1a      1857 (0x741)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   __toascii                                         0x75b311e4       0x000511e4      218 (0xda)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __uncaught_exception                              0x75b0fd65       0x0002fd65      44 (0x2c)        msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __unDName                                         0x75b09eb7       0x00029eb7      219 (0xdb)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __unDNameEx                                       0x75b39003       0x00059003      220 (0xdc)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __unguarded_readlc_active                         0x75b832f4       0x000a32f4      221 (0xdd)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __wargv                                           0x75b830e8       0x000a30e8      222 (0xde)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __wcserror                                        0x75b45f0e       0x00065f0e      223 (0xdf)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __wcserror_s                                      0x75b46055       0x00066055      224 (0xe0)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __wcsncnt                                         0x75b60186       0x00080186      225 (0xe1)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __wgetmainargs                                    0x75af4e7c       0x00014e7c      226 (0xe2)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __winitenv                                        0x75b830dc       0x000a30dc      227 (0xe3)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _abnormal_termination                             0x75b10611       0x00030611      228 (0xe4)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _abs64                                            0x75b4613e       0x0006613e      229 (0xe5)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _access                                           0x75afa7ed       0x0001a7ed      230 (0xe6)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _access_s                                         0x75afa80a       0x0001a80a      231 (0xe7)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _acmdln                                           0x75b804d8       0x000a04d8      232 (0xe8)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdiv_m16i                                    0x75b116a4       0x000316a4      233 (0xe9)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdiv_m32                                     0x75b1160c       0x0003160c      234 (0xea)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdiv_m32i                                    0x75b116d8       0x000316d8      235 (0xeb)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdiv_m64                                     0x75b11658       0x00031658      236 (0xec)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdiv_r                                       0x75b11147       0x00031147      237 (0xed)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdivr_m16i                                   0x75b117a4       0x000317a4      238 (0xee)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdivr_m32                                    0x75b1170c       0x0003170c      239 (0xef)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdivr_m32i                                   0x75b117d8       0x000317d8      240 (0xf0)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fdivr_m64                                    0x75b11758       0x00031758      241 (0xf1)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

